SERIAL_CODE,EMS_ID,STATION_NAME,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT(m),STATUS,URL,URL2,PM25_INSTRUMENT,PM25,PM25_UNIT,NO,NO_UNIT,NO2,NO2_UNIT,NOX,NOX_UNIT,O3,O3_UNIT,PM10,PM10_UNIT,SO2,SO2_UNIT,TRS,TRS_UNIT,H2S,H2S_UNIT,WDIR_VEC,WDIR_UNIT,WSPD_SCLR,WSPD_UNIT,TEMP,TEMP_UNIT,HUMIDITY,HUMIDITY_UNIT,PRECIPITATION,PRECIPITATION_UNIT,BAR_PRESSURE,PRESSURE_UNIT,SNOWDEPTH,SNOWDEPTH_UNIT,CO,CO_UNIT,PM25_24,NO_24,NO2_24,NOX_24,O3_8,PM10_24,SO2_24,TRS_24,H2S_24,DATE,DATE_PST,URL_Station
439,E292669,Burns Lake Sheraton East,"",Burns Lake,OPERATIONAL,"",INDUSTRY,"","",54.1527,-125.4495,679,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=439,,"","","","","","","","","","","","","","","","","","","",259.7,Deg.,2.9,m/s,8.6,Deg.C,51.8,% RH,"","","","","","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=439
26,0260021,Castlegar Hospital,"",Castlegar,OPERATIONAL,"",INDUSTRY,"","",49.3144,-117.6605,455,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=26,,"","","","","","","","","","","","","","","",0.9,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","",0.8,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=26
419,E286369,Castlegar Zinio Park,"",Castlegar,OPERATIONAL,"",ENV,"","",49.317698,-117.661527,407,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=419,,PM25_SHARP5030i,3.2,ug/m3,0.9,ppb,11.5,ppb,"","",21.1,ppb,"",ug/m3,0.3,ppb,"","","","","","","","","","","","","","","","","","","","",4.9,0.5,5,"",28.8,"",1.7,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=419
500,E220891,Chilliwack Airport,"",Chilliwack,METRO VANCOUVER,"",MVRD,"","",49.1558,-121.9403,12,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=500,,PM25_T640,4.5,ug/m3,0.9,ppb,3.1,ppb,"","",29.8,ppb,10.3,ug/m3,0.4,ppb,"","","","",246.6,Deg.,3.5,m/s,13.5,Deg.C,52,% RH,"","","","","","",0.16,ppm,6.6,1.8,7.9,"",24.1,11.7,0.3,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=500
284,E240337,Colwood City Hall,"",Colwood,OPERATIONAL,"",ENV,"","",48.42389,-123.49278,75,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=284,,PM25_SHARP5030i,6.9,ug/m3,0.1,ppb,0.4,ppb,"","",34.4,ppb,"","","","","","","","",287.3,Deg.,1.8,m/s,12.9,Deg.C,58.2,% RH,"","","","","","","","",6.6,0.5,1.9,"",31.9,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=284
260,E242892,Coquitlam Douglas College,"",Coquitlam,METRO VANCOUVER,"",MVRD,"","",49.2883,-122.7916,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=260,,"","","",0.6,ppb,7.4,ppb,"","",24.5,ppb,"","","","","","","","",265.8,Deg.,1.18,m/s,13.4,Deg.C,61.7,% RH,"","","","","","","",ppm,"",1.3,8.2,"",21.1,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=260
414,E285829,Courtenay Elementary School,"",Courtenay,OPERATIONAL,"",ENV,"","",49.682603,-124.996222,27,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=414,,PM25_SHARP5030i,8.3,ug/m3,0.3,ppb,2,ppb,"","",29.2,ppb,"","","","","","","","",280.3,Deg.,1.17,m/s,12.8,Deg.C,58.1,% RH,"","","","","","","","",7.9,3.7,4.9,"",25.7,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=414
550,E313510,Cranbrook Muriel Baxter,"",Cranbrook,OPERATIONAL,"",ENV,"","",49.507103,-115.753682,941,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=550,,PM25_SHARP5030i,2,ug/m3,0.7,ppb,3.5,ppb,"","",34.1,ppb,"","","","","","","","",279.4,Deg.,1.6,m/s,8.4,Deg.C,43,% RH,"","","","","","","","",5.1,0.3,2.1,"",35.2,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=550
564,E316070,Crofton Elementary,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.86,-123.64388889,38,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=564,,BAM1020,5,ug/m3,"","","","","","","","","","",0.8,ppb,0.1,ppb,"","",217.2,Deg.,1,m/s,11,Deg.C,70,% RH,"","","",kPa,"","","","",5.5,"","","","","",0.7,0,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=564
39,E220217,Crofton Substation,"",Crofton,OPERATIONAL,"",INDUSTRY,"","",48.874529,-123.653929,22,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=39,,BAM1020,2,ug/m3,"","","","","","","","","","","","",2.2,ppb,"","","",Deg.,0.6,m/s,11.6,Deg.C,65,% RH,"","","","","","","","",3.8,"","","","","","",2.1,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=39
542,E311128,Duncan College Street,"",Duncan,OPERATIONAL,"",ENV,"","",48.786114,-123.717307,32,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=542,,PM25_SHARP5030i,7.6,ug/m3,"",ppb,"",ppb,"","","",ppb,"","","","","","","","",152.9,Deg.,0.4,m/s,13.6,Deg.C,61,% RH,"","","","","","","","",6.1,2.3,5.6,"",27.6,"","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=542
40,E234670,Duncan Deykin Avenue,"",Duncan,OPERATIONAL,"",INDUSTRY,"","",48.80255,-123.646402,62,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=40,,PM25_SHARP5030i,12,ug/m3,"","","","","","","","","","","","",0.1,ppb,"","","","","","","","","","","","","","","","","","",5.5,"","","","","","",0,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=40
522,E222520,Elk Falls Dogwood,"",Campbell River,OPERATIONAL,"",INDUSTRY,"","",50.018425,-125.2484,63,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=522,,BAM1020,6.5,ug/m3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8.3,"","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=522
585,E290310,Elkford Rocky Mountain Elementary School,"",Elkford,OPERATIONAL,"",INDUSTRY,"","",50.0077944,-114.93342,1333,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=585,,PM25 SHARP5030,2.4,ug/m3,"","","","","","","","",3.3,ug/m3,"","","","","","",224.1,Deg.,1.26,m/s,3,Deg.C,"","","","","","","","","","",3.8,"","","","",8.4,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=585
455,E295892,Farmington Community Hall,"",Farmington,OPERATIONAL,"",INDUSTRY,"","",55.9132326,-120.53157,696,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=455,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=464,BAM1020,0,ug/m3,0.2,ppb,0.3,ppb,"","",32,ppb,"","",0,ppb,"",ppb,"","",258.4,Deg.,7.7,m/s,7.9,Deg.C,46.6,% RH,"","","","","","","","",0.5,0.2,0.4,"",32.8,"",0,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=455
489,E304550,Fort St John 85th Avenue,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.231792,-120.853895,685,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=489,,PM25_SHARP5030i,4.3,ug/m3,"","","","","","","","","",ug/m3,"","","","","","","","",8.4,m/s,"","","","","","","","","","","","",3.6,"","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=489
469,E299830,Fort St John Key Learning Centre,"",Fort St John,OPERATIONAL,"",ENV,"","",56.244722,-120.856111,679,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=469,,PM25 SHARP5030,5.7,ug/m3,0.9,ppb,2.6,ppb,"","",31.5,ppb,15.2,ug/m3,0.6,ppb,"","","","",254,Deg.,6.1,m/s,9.4,Deg.C,39.5,% RH,"","","","","","","","",2.3,1,2.4,"",31.6,9.7,0.6,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=469
533,E309527,Fort St John North Camp C,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.2032887,-120.90108,584,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=533,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=517,PM25 SHARP5030,0,ug/m3,"",ppb,"",ppb,"","","","",4.2,ug/m3,"",ppb,"","","","","","",7.6,m/s,10.3,Deg.C,40.8,% RH,"","","","","","","",ppm,1,"","","","",4.6,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=533
487,E304470,Fort St John Old Fort,"",Fort St John,BC HYDRO,"",INDUSTRY-BCH,"","",56.200587,-120.825713,421,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=487,,PM25 SHARP5030,0,ug/m3,"","","","","","","","",0.5,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",0.4,"","","","",1,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=487
452,E295949,Fraser Lake Endako Mines,"",Fraser Lake,OPERATIONAL,"",INDUSTRY,"","",54.034444,-125.095833,1005,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=452,,"","","","","","","","","","","","","","","","","","","",218,Deg.,8.85,m/s,6.5,Deg.C,54.5,% RH,"","","",kPa,"","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=452
433,E292149,Golden Helipad,"",Golden,OPERATIONAL,"",ENV,"","",51.2975,-116.966,780,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=433,,PM25_SHARP5030i,0.6,ug/m3,"","","","","","","","",1.4,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",4.2,"","","","",13.1,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=433
19,E243003,Golden Lady Grey School,"",Golden,OPERATIONAL,"",ENV,"","",51.2956,-116.9717,773,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=19,,"","","","","","","","","","","","","","","","","","","",310.3,Deg.,2.04,m/s,9.9,Deg.C,30.6,% RH,"","","","","","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=19
56,E262779,Grand Forks Airport,"",Grand Forks,OPERATIONAL,"",ENV,"","",49.0147,-118.4269,520,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=56,,"","","","","","","","","","","","","","","","","","","",237.3,Deg.,2.53,m/s,10.4,Deg.C,43,% RH,"","","",kPa,"","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=56
57,E263701,Grand Forks City Hall,"",Grand Forks,OPERATIONAL,"",ENV,"","",49.031168,-118.439088,517,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=57,,PM25 SHARP5030,2.4,ug/m3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",12.4,"","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=57
453,E225377,Harmac Cedar Woobank,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.114165,-123.850165,25,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=453,,BAM1020,5,ug/m3,"","","","","","","","","","","","",0.2,ppb,"","","","","","","","","","","","","","","","","","",9,"","","","","","",0.4,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=453
559,E299790,Harmac Nanaimo Dukepoint,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.14522,-123.87873,10,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=559,,"","","","","","","","","","","","","","","",0.5,ppb,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=559
60,M102038,Harmac Pacific,"",Nanaimo,OPERATIONAL,"",INDUSTRY,"","",49.133787,-123.850479,23,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=60,,"","","","","","","","","","","","","","","","","","","",113.6,Deg.,3.36,m/s,13.2,Deg.C,"","","","","","","","","","","","","","","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=60
257,E223756,Hope Airport,"",Hope,METRO VANCOUVER,"",MVRD,"","",49.3699,-121.4991,40,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=257,,PM25 SHARP5030,4.4,ug/m3,5.9,ppb,11.3,ppb,"","",14,ppb,9.7,ug/m3,"","","","","","",236.3,Deg.,1.4,m/s,12,Deg.C,70.1,% RH,"","","","","","","",ppm,5.6,3.1,5.9,"",18.9,9.5,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=257
269,E275843,Horseshoe Bay,"",West Vancouver,METRO VANCOUVER,"",MVRD,"","",49.3686,-123.2767,65,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=269,,PM25 SHARP5030,4,ug/m3,3.6,ppb,14.5,ppb,"","","","","","","","","","","","",55.6,Deg.,0.54,m/s,13.5,Deg.C,58.4,% RH,"","","","","","","",ppm,5.1,9.3,12.7,"","","","","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=269
437,M107004,Houston Firehall,"",Houston,OPERATIONAL,"",ENV,"","",54.3972,-126.645,594,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=437,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=3,PM25 SHARP5030,0.8,ug/m3,"","","","","","","","",4.5,ug/m3,"","","","","","","","","","","","","","","","","","","","","","",1.8,"","","","",5.7,"","","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=437
578,E321711,Hudsons Hope Dudley Drive,"",Hudsons Hope,BC HYDRO,"",INDUSTRY-BCH,"","",56.02686,-121.91118,494,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=578,,PM25 SHARP5030,2.3,ug/m3,0,ppb,0.2,ppb,"","","","",5,ug/m3,0.8,ppb,"","","","","","",1.4,m/s,11,Deg.C,42.5,% RH,"","","","","","","","",2.8,0.2,0.7,"","",4,0.8,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=578
267,0605008,Kamloops Federal Building,"",Kamloops,OPERATIONAL,"",ENV,"","",50.67477,-120.334016,381,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=267,,PM25 SHARP5030,2.8,ug/m3,0.6,ppb,6.1,ppb,"","",27.9,ppb,"","",1.2,ppb,1.2,ppb,"","",102.7,Deg.,"","",12.1,Deg.C,45.7,% RH,"","","","","","","","",10.9,21.3,16.3,"",23.8,"",1.5,1.6,"",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=267
571,E317850,Kelowna KLO Road,"",Kelowna,OPERATIONAL,"",ENV,"","",49.862119,-119.467461,350,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=571,,PM25 SHARP5030,0.1,ug/m3,2.9,ppb,1.2,ppb,"","",24.3,ppb,3.3,ug/m3,0,ppb,"","","","",227.9,Deg.,1.1,m/s,11.1,Deg.C,61.3,% RH,"","","","","","",0.141,ppm,15,3.2,3.2,"",24.6,18.7,0,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=571
271,E282711,Kitimat Haisla Village,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",53.973228,-128.650768,5,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=271,,BAM1020,4,ug/m3,0.1,ppb,0.1,ppb,"","",25.3,ppb,"","",0.3,ppb,"","","","",189,Deg.,2.76,m/s,9.6,Deg.C,"","","","","","","","","","",5,0.2,0.3,"",24.8,"",0.3,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=271
73,E223616,Kitimat Haul Road,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.029194,-128.70269,11,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=73,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=75,BAM1020,4,ug/m3,"","","","","","","","","","",18.9,ppb,"","","","",203.4,Deg.,3.6,m/s,10,Deg.C,"","","","","","","","","","",3.8,"","","","","",16.5,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=73
576,E320051,Kitimat Industrial Ave,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.061,-128.688,21,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=576,,"","","","","","","","","","","","","",10,ppb,"","","","",167.2,Deg.,3.4,m/s,10.4,Deg.C,75.3,% RH,"","","","","","","","","","","","","","",3.5,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=576
77,E216670,Kitimat Riverlodge,"",Kitimat,OPERATIONAL,"",INDUSTRY,"","",54.05389,-128.671436,18,ON,https://envistaweb.env.gov.bc.ca/StationReportFast.aspx?ST_ID=77,,BAM1020,5,ug/m3,"",ppb,"",ppb,"","","",ppb,9,ug/m3,"",ppb,"","","","",143.9,Deg.,4.6,m/s,10.1,Deg.C,"","","","","","","","","","",2.8,0.2,1.5,"",26.5,7.5,0.6,"","",Friday 17 October 2025 6PM (PDT),2025-10-17 17:00,https://envistaweb.env.gov.bc.ca/StationDetails.aspx?ST_ID=77
